X0,DA-1d,DA-2d,DA-7d,DA_avg,DA_min,DA_max,DA_last,L,W,S,DayAhead
1,28.72,25.19,30.98,47.14124999999999,27.95,72.7,35.06,43.824,1.04875,0.0,32.02
1,28.08,24.08,29.93,47.14124999999999,27.95,72.7,35.06,42.85125,1.02525,0.0,30.26
1,27.95,23.45,30.15,47.14124999999999,27.95,72.7,35.06,43.285,1.06775,0.0,28.22
1,28.42,23.66,30.82,47.14124999999999,27.95,72.7,35.06,44.6335,1.0905,0.0,30.47
1,34.76,26.26,32.3,47.14124999999999,27.95,72.7,35.06,48.39525,1.13625,0.0,32.09
1,46.49,34.3,44.68,47.14124999999999,27.95,72.7,35.06,56.89025,1.13775,0.0,46.62
1,55.7,47.68,54.92,47.14124999999999,27.95,72.7,35.06,63.3665,1.22875,0.06075,55.48
1,59.84,50.03,60.0,47.14124999999999,27.95,72.7,35.06,65.53,1.3235,0.943,61.04
1,61.14,49.84,46.96,47.14124999999999,27.95,72.7,35.06,65.58475,1.204,3.02275,61.0
1,59.13,49.02,37.92,47.14124999999999,27.95,72.7,35.06,66.707,1.04075,5.67625,55.09
1,56.0,48.97,32.01,47.14124999999999,27.95,72.7,35.06,67.438,1.03075,8.115,52.93
1,52.46,47.51,30.07,47.14124999999999,27.95,72.7,35.06,66.34875,1.14275,9.747,50.85
1,51.05,47.07,28.65,47.14124999999999,27.95,72.7,35.06,64.8645,1.17875,10.0615,47.8
1,50.78,45.94,28.91,47.14124999999999,27.95,72.7,35.06,62.98575,1.18325,9.089,46.8
1,50.22,45.95,29.6,47.14124999999999,27.95,72.7,35.06,61.53675,1.20525,7.11675,45.17
1,50.0,44.2,32.02,47.14124999999999,27.95,72.7,35.06,60.329,1.45125,4.58825,44.48
1,51.69,45.74,44.68,47.14124999999999,27.95,72.7,35.06,60.41175,1.84075,1.8525,46.66
1,55.99,49.58,48.1,47.14124999999999,27.95,72.7,35.06,61.8035,2.47625,0.1635,49.56
1,72.7,56.56,55.0,47.14124999999999,27.95,72.7,35.06,63.8175,3.28025,0.0,55.44
1,58.04,49.56,49.03,47.14124999999999,27.95,72.7,35.06,59.94775,3.9615,0.0,49.99
1,43.98,41.52,39.8,47.14124999999999,27.95,72.7,35.06,55.606,4.218,0.0,40.07
1,40.99,36.36,33.5,47.14124999999999,27.95,72.7,35.06,52.33025,4.358,0.0,36.47
1,35.06,30.99,30.13,47.14124999999999,27.95,72.7,35.06,48.16325,4.34275,0.0,32.43
1,33.12,32.2,26.75,44.33583333333333,28.22,61.04,32.43,44.59025,4.34875,0.0,32.46
1,32.02,28.72,26.26,44.33583333333333,28.22,61.04,32.43,42.47725,4.49125,0.0,28.53
1,30.26,28.08,26.39,44.33583333333333,28.22,61.04,32.43,41.14175,4.52675,0.0,32.21
1,28.22,27.95,26.04,44.33583333333333,28.22,61.04,32.43,41.07725,4.50025,0.0,30.35
1,30.47,28.42,24.77,44.33583333333333,28.22,61.04,32.43,41.42775,4.684,0.0,29.95
1,32.09,34.76,25.49,44.33583333333333,28.22,61.04,32.43,41.9225,4.6645,0.0,31.01
1,46.62,46.49,24.03,44.33583333333333,28.22,61.04,32.43,43.8705,4.9305,0.0,32.88
1,55.48,55.7,26.14,44.33583333333333,28.22,61.04,32.43,46.591,4.93225,0.063,36.0
1,61.04,59.84,28.06,44.33583333333333,28.22,61.04,32.43,50.03075,5.119,1.18275,42.9
1,61.0,61.14,26.4,44.33583333333333,28.22,61.04,32.43,53.10225,4.70275,3.7835,43.97
