X0,DA_Forecast,ID*,L,W,S,Intraday
1,29.31,36.6841513163096,50.2065,5.74875,0.0,37.8715188558645
1,36.93,43.3041334184488,58.52225,6.04675,0.0,48.0776241929699
1,51.9,55.0576915538678,65.3725,7.03775,0.008,65.4179651162791
1,50.41,62.1339061459951,67.9325,7.453,0.1945,66.8348726274692
1,51.16,64.8997167864513,68.65975,7.7385,0.84375,72.8816097631427
1,57.91,67.7515197013188,69.9315,8.14975,1.5935,66.3528801803736
1,57.01,61.95,70.88575,8.543,2.165,63.8703820376527
1,51.46,55.17,70.2195,8.85125,2.317,63.7138578119033
1,50.0,51.95,69.3285,9.2295,2.24325,65.3321615062762
1,42.44,46.81,68.30425,9.47975,1.90825,69.749787734739
1,36.08,45.99,67.31625,9.33825,1.4495,54.1168213990256
1,35.0,46.87,65.80975,9.22175,0.75075,52.6454122167533
1,37.44,47.95,66.26375,9.34675,0.198,54.2028462680484
1,44.0,51.98,67.831,9.17075,0.0115,57.139979677343
1,47.97,57.07,68.06875,8.836,0.0,74.2734671379281
1,36.07,46.0,64.11025,8.06725,0.0,51.279435754321
1,32.0,36.95,59.95,7.05625,0.0,41.525866205168
1,32.41,36.99,56.05975,6.3105,0.0,46.4904201680672
1,29.1,31.59,51.491,5.75825,0.0,37.5254446066147
1,29.38,36.9383577546542,47.877,5.23275,0.0,32.1981694077878
1,29.03,34.9295435435435,45.749,4.75325,0.0,34.5657868504772
1,28.06,35.0728781113677,44.7195,4.39575,0.0,32.8479515140983
1,29.48,34.1785620804661,45.0915,4.13725,0.0,33.9437214688993
1,30.79,34.318811170511,46.6255,3.85,0.0,34.6577831901893
1,30.73,37.8715188558645,50.26675,3.887,0.0,34.4980561209654
1,45.86,48.0776241929699,58.25025,3.54175,0.0,46.1518927742595
1,61.8,65.4179651162791,65.181,3.50675,0.0095,56.9922798820294
1,65.99,66.8348726274692,67.79575,3.61675,0.2445,58.8808197501923
1,65.99,72.8816097631427,68.509,3.6475,0.875,58.8985280552333
1,66.23,66.3528801803736,69.755,3.44875,1.69325,56.2339220023862
1,61.0,57.01,70.21575,3.3355,2.42,54.5465433871029
1,54.7,51.46,63.83475,3.31825,2.87,53.7378509000405
1,52.37,50.0,67.255,3.43575,2.9285,55.4245762082984
1,55.0,42.44,65.65275,3.41,2.55375,54.712797178933
1,53.73,36.08,64.4715,3.6005,1.76725,53.9910942308526
1,51.94,35.0,63.4355,3.73925,0.969,52.2210516447613
1,55.17,37.44,64.00075,3.86675,0.30125,50.6770489902234
1,59.87,44.0,65.651,3.98075,0.0215,52.7130352875018
1,50.4,47.97,65.591,3.97125,0.0,55.6684700441128
1,44.8,36.07,61.24675,3.849,0.0,50.1165831767898
1,39.82,32.0,57.24175,3.465,0.0,42.8395422969188
1,38.69,32.41,54.0685,3.25175,0.0,39.1512602657005
1,35.27,29.1,49.85975,3.02325,0.0,34.5230654216154
1,34.19,32.1981694077878,46.401,2.74725,0.0,37.8884126106195
1,34.07,34.5657868504772,44.14825,2.487,0.0,34.0724521886953
1,33.49,32.8479515140983,42.67425,2.26175,0.0,34.3422869955157
1,33.42,33.9437214688993,42.435,1.943,0.0,34.3075369096745
1,33.97,34.6577831901893,42.71325,1.69325,0.0,34.1415344915316
1,32.34,34.4980561209654,43.05375,1.64,0.0,34.5290965107647
1,32.13,46.1518927742595,44.50075,1.49225,0.0,38.5490913348946
1,35.06,56.9922798820294,47.95225,1.42425,0.011,38.7192357808636
1,46.3,58.8808197501923,51.589,1.16575,0.4865,43.4002232242262
1,48.13,58.8985280552333,54.71225,1.022,1.79275,48.5317969171715
1,48.28,56.2339220023862,56.611,0.85575,3.6195,50.5762046962736
1,46.52,61.0,57.57825,0.75,4.95925,50.5782681578947
1,43.96,54.7,56.76775,0.7455,5.78475,47.3766260385055
1,41.62,52.37,54.7105,0.65675,5.173,45.6083152515018
1,38.96,55.0,52.95075,0.59975,3.79775,42.8070140482102
1,38.48,53.73,52.29275,0.59625,2.6565,43.2354405409641
1,39.18,51.94,52.01,0.572,1.44425,43.4664971712903
1,42.6,55.17,53.38425,0.6255,0.411,43.0647546195112
1,48.8,59.87,56.1785,0.69125,0.02525,49.5343450317735
1,55.99,50.4,56.12825,0.84425,0.0,51.4623217402547
1,47.21,44.8,52.293,0.9055,0.0,46.6688705050108
1,41.81,39.82,49.48275,0.96375,0.0,40.0132468885355
1,42.43,38.69,48.1845,0.95,0.0,41.8175968313913
1,32.18,35.27,45.18075,0.91375,0.0,35.9999252669039
1,32.18,37.8884126106195,41.88675,0.92275,0.0,34.9160219188618
1,32.02,34.0724521886953,39.44275,0.94975,0.0,36.1618994560449
1,31.04,34.3422869955157,38.22825,1.04325,0.0,34.9782115653661
1,32.03,34.3075369096745,38.02775,1.14625,0.0,35.3060159817352
1,30.91,34.1415344915316,38.42775,1.34075,0.0,32.4880646146796
1,31.03,34.5290965107647,38.49325,1.45625,0.0,31.0105435008666
1,29.03,38.5490913348946,38.46525,1.6405,0.0,31.6307243916242
1,31.96,38.7192357808636,40.302,1.67425,0.0115,34.9992269817824
