X0,W*,Forecast Wind,FW-1h,FW+1h,Wind
1,11.20575,7.908,7.799,7.689,11.114
1,11.136,7.689,7.908,7.24625,10.55775
1,10.78725,7.24625,7.689,7.3395,9.8955
1,13.63925,7.3395,7.24625,6.925,8.75575
1,12.701,6.925,7.3395,6.51825,7.79425
1,11.90475,6.51825,6.925,6.31525,7.36175
1,11.08725,6.31525,6.51825,6.22975,7.184
1,10.365,6.22975,6.31525,6.20275,7.11725
1,10.11375,6.20275,6.22975,6.221,7.0095
1,10.20025,6.221,6.20275,6.103,6.89025
1,10.007,6.103,6.221,5.664,6.78325
1,8.81625,5.664,6.103,5.02525,6.243
1,6.49725,5.02525,5.664,4.48975,5.252
1,5.632,4.48975,5.02525,4.295,4.84475
1,5.53225,4.295,4.48975,4.176,4.51975
1,5.69175,4.176,4.295,4.14925,4.38825
1,6.017,4.14925,4.176,4.2655,4.277
1,6.218,4.2655,4.14925,4.554,4.38875
1,6.33175,4.554,4.2655,4.766,4.584
1,6.3925,4.766,4.554,4.69675,4.50775
1,6.253,4.69675,4.766,4.47725,4.437
1,6.4455,4.47725,4.69675,4.303,4.6345
1,7.2435,4.303,4.47725,4.202,4.70975
1,7.799,4.202,4.303,4.13525,4.60225
1,7.908,4.13525,4.202,4.11975,4.69725
1,7.689,4.11975,4.13525,4.0905,4.63475
1,7.24625,4.0905,4.11975,3.88575,4.7425
1,8.75575,3.88575,4.0905,3.78325,4.72975
1,7.79425,3.78325,3.88575,3.77075,4.506
1,7.36175,3.77075,3.78325,3.9585,4.50625
1,7.184,3.9585,3.77075,4.26025,4.41625
1,7.11725,4.26025,3.9585,4.6365,4.91725
1,7.0095,4.6365,4.26025,4.9265,5.297
1,6.89025,4.9265,4.6365,5.15225,5.54975
1,6.78325,5.15225,4.9265,5.39175,5.9235
1,6.243,5.39175,5.15225,5.6905,6.0455
1,5.252,5.6905,5.39175,6.1,5.8195
1,4.84475,6.1,5.6905,6.56125,5.599
1,4.295,6.56125,6.1,6.98975,5.514
1,4.176,6.98975,6.56125,7.35375,5.47175
1,4.14925,7.35375,6.98975,7.5165,5.81075
1,4.2655,7.5165,7.35375,7.40975,6.15875
1,4.554,7.40975,7.5165,7.23975,6.437
1,4.766,7.23975,7.40975,7.13125,6.138
1,4.69675,7.13125,7.23975,7.11575,5.9705
1,4.47725,7.11575,7.13125,7.0985,6.33575
1,4.303,7.0985,7.11575,7.052,6.34975
1,4.202,7.052,7.0985,6.8625,5.92175
1,4.13525,6.8625,7.052,6.66325,5.994
1,4.11975,6.66325,6.8625,6.44725,5.6085
1,4.0905,6.44725,6.66325,4.9535,4.9745
1,4.72975,4.9535,6.44725,4.89925,4.0315
1,4.506,4.89925,4.9535,4.9035,3.87875
1,4.50625,4.9035,4.89925,5.1385,4.17025
1,4.41625,5.1385,4.9035,5.487,4.3975
1,4.91725,5.487,5.1385,5.98525,5.0595
1,5.297,5.98525,5.487,6.56875,5.74875
1,5.54975,6.56875,5.98525,7.13775,6.04675
1,5.9235,7.13775,6.56875,7.645,7.03775
1,6.0455,7.645,7.13775,8.07,7.453
1,5.8195,8.07,7.645,8.42425,7.7385
1,5.599,8.42425,8.07,8.81075,8.14975
1,6.56125,8.81075,8.42425,9.1935,8.543
1,6.98975,9.1935,8.81075,9.65625,8.85125
1,7.35375,9.65625,9.1935,10.135,9.2295
1,7.5165,10.135,9.65625,10.507,9.47975
1,7.40975,10.507,10.135,10.7205,9.33825
1,7.23975,10.7205,10.507,10.5665,9.22175
1,7.13125,10.5665,10.7205,10.113,9.34675
1,7.11575,10.113,10.5665,9.5445,9.17075
1,7.0985,9.5445,10.113,8.87625,8.836
1,7.052,8.87625,9.5445,8.20375,8.06725
1,6.8625,8.20375,8.87625,7.54475,7.05625
1,6.66325,7.54475,8.20375,6.876,6.3105
1,6.44725,6.876,7.54475,5.90125,5.75825
1,4.0315,5.90125,6.876,5.67675,5.23275
1,3.87875,5.67675,5.90125,5.3675,4.75325
1,4.17025,5.3675,5.67675,5.0795,4.39575
1,4.3975,5.0795,5.3675,4.74925,4.13725
1,5.0595,4.74925,5.0795,4.5055,3.85
1,5.74875,4.5055,4.74925,4.47425,3.887
1,6.04675,4.47425,4.5055,4.532,3.54175
1,7.03775,4.532,4.47425,4.54925,3.50675
1,7.453,4.54925,4.532,4.499,3.61675
1,7.7385,4.499,4.54925,4.41625,3.6475
1,8.14975,4.41625,4.499,4.323,3.44875
1,8.81075,4.323,4.41625,4.168,3.3355
1,9.1935,4.168,4.323,3.95925,3.31825
1,9.65625,3.95925,4.168,3.81175,3.43575
1,10.135,3.81175,3.95925,3.6885,3.41
1,10.507,3.6885,3.81175,3.557,3.6005
1,10.7205,3.557,3.6885,3.36275,3.73925
1,10.5665,3.36275,3.557,3.1175,3.86675
1,10.113,3.1175,3.36275,2.9185,3.98075
1,9.5445,2.9185,3.1175,2.76325,3.97125
1,8.87625,2.76325,2.9185,2.53375,3.849
1,8.20375,2.53375,2.76325,2.26,3.465
1,7.54475,2.26,2.53375,2.0325,3.25175
1,6.876,2.0325,2.26,2.61625,3.02325
1,5.23275,2.61625,2.0325,2.477,2.74725
1,4.75325,2.477,2.61625,2.296,2.487
1,4.39575,2.296,2.477,2.15275,2.26175
1,4.13725,2.15275,2.296,2.0635,1.943
1,3.85,2.0635,2.15275,2.0575,1.69325
1,3.887,2.0575,2.0635,2.05625,1.64
1,3.54175,2.05625,2.0575,2.0445,1.49225
1,3.50675,2.0445,2.05625,1.9455,1.42425
1,3.61675,1.9455,2.0445,1.827,1.16575
1,3.6475,1.827,1.9455,1.709,1.022
1,3.44875,1.709,1.827,1.57025,0.85575
1,4.323,1.57025,1.709,1.39975,0.75
1,4.168,1.39975,1.57025,1.24025,0.7455
1,3.95925,1.24025,1.39975,1.1415,0.65675
1,3.81175,1.1415,1.24025,1.1195,0.59975
1,3.6885,1.1195,1.1415,1.17675,0.59625
1,3.557,1.17675,1.1195,1.326,0.572
1,3.36275,1.326,1.17675,1.5225,0.6255
1,3.1175,1.5225,1.326,1.71925,0.69125
1,2.9185,1.71925,1.5225,1.867,0.84425
1,2.76325,1.867,1.71925,1.911,0.9055
1,2.53375,1.911,1.867,1.926,0.96375
1,2.26,1.926,1.911,1.90475,0.95
1,2.0325,1.90475,1.926,1.7965,0.91375
1,2.74725,1.7965,1.90475,1.79775,0.92275
1,2.487,1.79775,1.7965,1.79925,0.94975
1,2.26175,1.79925,1.79775,1.963,1.04325
1,1.943,1.963,1.79925,2.131,1.14625
1,1.69325,2.131,1.963,2.12425,1.34075
1,1.64,2.12425,2.131,2.059,1.45625
1,1.49225,2.059,2.12425,1.9595,1.6405
1,1.42425,1.9595,2.059,1.86625,1.67425
1,1.16575,1.86625,1.9595,1.8725,1.694
1,1.022,1.8725,1.86625,1.69875,1.5515
1,0.85575,1.69875,1.8725,1.5935,1.4485
1,1.57025,1.5935,1.69875,1.50975,1.38175
1,1.39975,1.50975,1.5935,1.44075,1.41875
1,1.24025,1.44075,1.50975,1.37775,1.35075
1,1.1415,1.37775,1.44075,1.29225,1.172
1,1.1195,1.29225,1.37775,1.26825,1.078
1,1.17675,1.26825,1.29225,1.2745,1.02
1,1.326,1.2745,1.26825,1.36425,1.01825
1,1.5225,1.36425,1.2745,1.46075,1.1135
1,1.71925,1.46075,1.36425,1.538,1.2475
1,1.867,1.538,1.46075,1.559,1.31275
1,1.911,1.559,1.538,1.5575,1.39425
1,1.926,1.5575,1.559,1.52925,1.4095
1,1.90475,1.52925,1.5575,1.59625,1.303
1,0.92275,1.59625,1.52925,1.548,1.3215
1,0.94975,1.548,1.59625,1.427,1.322
1,1.04325,1.427,1.548,1.349,1.25875
1,1.14625,1.349,1.427,1.3315,1.08825
1,1.34075,1.3315,1.349,1.3035,1.0815
1,1.45625,1.3035,1.3315,1.29625,1.096
1,1.6405,1.29625,1.3035,1.275,1.19
1,1.67425,1.275,1.29625,1.2105,1.24275
1,1.694,1.2105,1.275,1.09675,1.211
1,1.5515,1.09675,1.2105,0.97675,1.0645
1,1.4485,0.97675,1.09675,0.894,0.897
1,1.5935,0.894,0.97675,0.88325,0.79775
1,1.50975,0.88325,0.894,0.876,0.755
1,1.44075,0.876,0.88325,0.88725,0.69425
1,1.37775,0.88725,0.876,0.9165,0.71075
1,1.29225,0.9165,0.88725,0.98825,0.76175
1,1.26825,0.98825,0.9165,1.08875,0.78725
1,1.2745,1.08875,0.98825,1.19425,0.79575
1,1.36425,1.19425,1.08875,1.312,0.858
1,1.46075,1.312,1.19425,1.374,0.87175
1,1.538,1.374,1.312,1.33025,0.72825
1,1.559,1.33025,1.374,1.2615,0.67125
1,1.5575,1.2615,1.33025,1.15725,0.63475
1,1.52925,1.15725,1.2615,0.76075,0.55175
1,1.3215,0.76075,1.15725,0.7295,0.50075
1,1.322,0.7295,0.76075,0.74875,0.5215
1,1.25875,0.74875,0.7295,0.7955,0.5655
1,1.08825,0.7955,0.74875,0.87,0.56375
1,1.0815,0.87,0.7955,0.96625,0.5615
1,1.096,0.96625,0.87,1.0305,0.67075
1,1.19,1.0305,0.96625,1.09025,0.76775
1,1.24275,1.09025,1.0305,1.1665,0.829
1,1.211,1.1665,1.09025,1.21175,0.87675
1,1.0645,1.21175,1.1665,1.26175,0.88525
1,0.897,1.26175,1.21175,1.3535,0.8385
1,0.894,1.3535,1.26175,1.47775,0.75125
1,0.88325,1.47775,1.3535,1.65775,0.83925
1,0.876,1.65775,1.47775,1.88625,1.05625
1,0.88725,1.88625,1.65775,2.06925,1.2475
1,0.9165,2.06925,1.88625,2.265,1.302
1,0.98825,2.265,2.06925,2.4605,1.4495
1,1.08875,2.4605,2.265,2.5895,1.5175
1,1.19425,2.5895,2.4605,2.63175,1.70225
1,1.312,2.63175,2.5895,2.611,1.91075
1,1.374,2.611,2.63175,2.517,1.90325
1,1.33025,2.517,2.611,2.4555,1.72375
1,1.2615,2.4555,2.517,2.4435,1.655
1,1.15725,2.4435,2.4555,1.828,1.645
1,0.50075,1.828,2.4435,1.7625,1.65825
1,0.5215,1.7625,1.828,1.71325,1.703
1,0.5655,1.71325,1.7625,1.7155,1.842
1,0.56375,1.7155,1.71325,1.815,1.989
1,0.5615,1.815,1.7155,1.985,2.068
1,0.67075,1.985,1.815,2.25875,2.236
1,0.76775,2.25875,1.985,2.591,2.71275
1,0.829,2.591,2.25875,2.82525,3.27
1,0.87675,2.82525,2.591,3.0045,3.64725
1,0.88525,3.0045,2.82525,3.1955,3.86825
1,0.8385,3.1955,3.0045,3.473,3.8325
1,1.3535,3.473,3.1955,4.03175,4.108
1,1.47775,4.03175,3.473,4.87525,4.69325
1,1.65775,4.87525,4.03175,5.40175,5.3915
1,1.88625,5.40175,4.87525,5.65625,5.744
1,2.06925,5.65625,5.40175,5.79325,5.9265
1,2.265,5.79325,5.65625,6.06525,5.91025
1,2.4605,6.06525,5.79325,6.61475,5.98575
1,2.5895,6.61475,6.06525,7.381,6.5075
1,2.63175,7.381,6.61475,8.2235,7.43625
1,2.611,8.2235,7.381,8.97975,8.31175
1,2.517,8.97975,8.2235,9.4365,8.71925
1,2.4555,9.4365,8.97975,9.53225,8.7065
1,2.4435,9.53225,9.4365,9.16175,8.696
1,1.65825,9.16175,9.53225,8.953,9.1375
1,1.703,8.953,9.16175,8.78,9.21225
1,1.842,8.78,8.953,8.81275,9.1315
1,1.989,8.81275,8.78,8.9115,9.26175
1,2.068,8.9115,8.81275,9.136,9.528
1,2.236,9.136,8.9115,9.5295,10.3025
1,2.71275,9.5295,9.136,9.883,10.632
1,3.27,9.883,9.5295,10.13425,10.85425
1,3.64725,10.13425,9.883,10.2195,10.8705
1,3.86825,10.2195,10.13425,10.34825,10.35725
1,3.8325,10.34825,10.2195,10.677,9.9405
1,3.473,10.677,10.34825,11.09625,9.834
1,4.03175,11.09625,10.677,11.563,10.048
1,4.87525,11.563,11.09625,12.1025,10.372
1,5.40175,12.1025,11.563,12.7195,10.54725
1,5.65625,12.7195,12.1025,13.42725,10.95375
1,5.79325,13.42725,12.7195,14.123,11.24125
1,6.06525,14.123,13.42725,14.7905,11.8355
1,6.61475,14.7905,14.123,15.465,12.13225
