X0,D1,D2,D3,L*,L-2d,L-7d,Forecast Load,FW,FS,FL_avg,FL_max,FL_min,Load
1,0.0,0.0,0.0,59.7445,46.72825,,61.21625,11.7875,1.55025,57.05422916666666,68.00475,41.39675,64.016
1,0.0,0.0,0.0,60.15075,48.7375,,61.4285,12.3465,0.222,57.05422916666666,68.00475,41.39675,65.26475
1,0.0,0.0,0.0,62.26975,51.51675,,63.31875,12.72125,0.00175,57.05422916666666,68.00475,41.39675,67.4165
1,0.0,0.0,0.0,60.1155,50.011,,60.89175,12.89175,0.0,57.05422916666666,68.00475,41.39675,64.224
1,0.0,0.0,0.0,56.50975,47.66475,,56.91,12.79675,0.0,57.05422916666666,68.00475,41.39675,58.90675
1,0.0,0.0,0.0,51.44225,46.3485,,52.24525,12.51375,0.0,57.05422916666666,68.00475,41.39675,53.894
1,0.0,0.0,0.0,46.466,43.0435,,47.50625,12.156,0.0,57.05422916666666,68.00475,41.39675,49.139
1,0.0,0.0,0.0,45.8105,40.225,,45.42825,10.83675,0.0,57.24169791666666,67.3505,42.49175,45.83825
1,0.0,0.0,0.0,43.726,38.77175,,43.3545,10.55375,0.0,57.24169791666666,67.3505,42.49175,44.32725
1,0.0,0.0,0.0,43.158,38.39,,42.49175,10.13325,0.0,57.24169791666666,67.3505,42.49175,43.373
1,0.0,0.0,0.0,43.2375,39.20025,,42.81975,9.742,0.0,57.24169791666666,67.3505,42.49175,43.594
1,0.0,0.0,0.0,44.57875,40.6835,,44.15075,9.307,0.0,57.24169791666666,67.3505,42.49175,45.04275
1,0.0,0.0,0.0,48.95425,45.42925,,47.82725,9.0405,0.0,57.24169791666666,67.3505,42.49175,49.652
1,0.0,0.0,0.0,58.21825,55.752,,55.9945,8.9075,0.00075,57.24169791666666,67.3505,42.49175,58.3405
1,0.0,0.0,0.0,64.392,61.9105,,61.83875,8.73475,0.065,57.24169791666666,67.3505,42.49175,64.30025
1,0.0,0.0,0.0,66.60325,63.5435,,64.369,8.5685,0.616,57.24169791666666,67.3505,42.49175,66.5815
1,0.0,0.0,0.0,67.34225,63.9505,,64.91575,8.31675,1.74425,57.24169791666666,67.3505,42.49175,66.78825
1,0.0,0.0,0.0,68.60625,65.16475,,65.81925,8.14375,2.972,57.24169791666666,67.3505,42.49175,67.7545
1,0.0,0.0,0.0,68.00475,66.01425,,67.3505,7.94425,3.96075,57.24169791666666,67.3505,42.49175,68.994
1,0.0,0.0,0.0,67.70775,64.97475,,66.69075,7.685,4.727,57.24169791666666,67.3505,42.49175,68.41725
1,0.0,0.0,0.0,66.72925,64.369,,65.9025,7.3585,5.0755,57.24169791666666,67.3505,42.49175,67.473
1,0.0,0.0,0.0,64.93325,63.47125,,64.0595,6.86125,4.73075,57.24169791666666,67.3505,42.49175,66.1385
1,0.0,0.0,0.0,63.31475,62.80025,,62.5255,6.42175,3.88975,57.24169791666666,67.3505,42.49175,64.6765
1,0.0,0.0,0.0,61.6745,61.19075,,61.06675,6.0585,2.4795,57.24169791666666,67.3505,42.49175,62.95325
1,0.0,0.0,0.0,61.21625,60.99975,,60.9475,5.86825,1.022,57.24169791666666,67.3505,42.49175,62.94175
1,0.0,0.0,0.0,61.4285,61.858,,61.77225,5.9375,0.13675,57.24169791666666,67.3505,42.49175,64.12225
1,0.0,0.0,0.0,63.31875,65.16925,,64.02875,6.096,0.001,57.24169791666666,67.3505,42.49175,66.224
1,0.0,0.0,0.0,60.89175,61.61325,,61.29625,6.24925,0.0,57.24169791666666,67.3505,42.49175,62.63725
1,0.0,0.0,0.0,56.91,57.65575,,57.36775,6.3525,0.0,57.24169791666666,67.3505,42.49175,58.48825
1,0.0,0.0,0.0,52.24525,53.3185,,53.234,6.3415,0.0,57.24169791666666,67.3505,42.49175,53.90875
1,0.0,0.0,0.0,47.50625,48.6895,,48.54925,6.121,0.0,57.24169791666666,67.3505,42.49175,49.12275
1,0.0,0.0,0.0,45.83825,45.8105,46.06575,45.35825,6.228,0.0,57.55112499999999,68.00725,42.4065,45.5355
1,0.0,0.0,0.0,44.32725,43.726,44.27125,43.347,5.58775,0.0,57.55112499999999,68.00725,42.4065,43.79325
1,0.0,0.0,0.0,43.373,43.158,43.33775,42.4065,4.88175,0.0,57.55112499999999,68.00725,42.4065,42.86825
1,0.0,0.0,0.0,43.594,43.2375,43.79225,42.7345,4.37675,0.0,57.55112499999999,68.00725,42.4065,43.16425
1,0.0,0.0,0.0,45.04275,44.57875,45.16625,43.91225,3.9105,0.0,57.55112499999999,68.00725,42.4065,44.8605
1,0.0,0.0,0.0,49.652,48.95425,49.12975,47.729,3.53,0.0,57.55112499999999,68.00725,42.4065,48.65225
1,0.0,0.0,0.0,58.3405,58.21825,58.05775,56.66925,3.25875,0.00075,57.55112499999999,68.00725,42.4065,57.2115
1,0.0,0.0,0.0,64.30025,64.392,63.421,62.5255,2.979,0.09375,57.55112499999999,68.00725,42.4065,63.6225
1,0.0,0.0,0.0,66.5815,66.60325,65.4105,64.59275,2.74725,0.9615,57.55112499999999,68.00725,42.4065,65.508
