X0,DA_Forecast,ID*,-FL,-FW,-FS,-FL_1d,-FW_1d,-FS_1d,Intraday
1,41.27,40.97,-63.31475,-10.79425,-5.32725,-62.63825,-3.2775,-11.39125,47.9455987291005
1,40.0,41.38,-61.6745,-11.2605,-3.49975,-60.3735,-3.61725,-7.399,50.8383474010946
1,40.55,44.61,-61.21625,-11.7875,-1.55025,-59.7445,-4.199,-3.2375,52.1089736103035
1,41.91,45.1,-61.4285,-12.3465,-0.222,-60.15075,-5.46375,-0.42425,54.0738534202434
1,45.87,51.75,-63.31875,-12.72125,-0.00175,-62.26975,-7.044,-0.00425,58.4595081858641
1,39.91,45.45,-60.89175,-12.89175,-0.0,-60.1155,-8.41475,-0.0,51.8066614773104
1,32.18,33.26,-56.91,-12.79675,-0.0,-56.50975,-8.9745,-0.0,41.0019669975973
1,30.05,28.06,-52.24525,-12.51375,-0.0,-51.44225,-9.233,-0.0,40.3519823537305
1,27.56,27.01,-47.50625,-12.156,-0.0,-46.466,-9.29775,-0.0,38.4072163511411
1,28.07,23.9477535934292,-45.42825,-10.83675,-0.0,-44.22975,-9.54575,-0.0,30.0604893833947
1,25.19,21.5328575037898,-43.3545,-10.55375,-0.0,-42.34725,-9.506,-0.0,28.2350056783437
1,24.08,16.9929657367534,-42.49175,-10.13325,-0.0,-41.39675,-9.45725,-0.0,27.9555330732976
1,23.45,12.6731870572063,-42.81975,-9.742,-0.0,-41.779,-9.4375,-0.0,26.0961186484618
1,23.66,7.93450954259516,-44.15075,-9.307,-0.0,-43.08575,-9.48175,-0.0,26.7754528122021
1,26.26,15.4215705993271,-47.82725,-9.0405,-0.0,-47.0885,-9.545,-0.0,29.8117153373045
1,34.3,29.9359427539664,-55.9945,-8.9075,-0.00075,-56.1545,-9.744,-0.001,39.9841504354711
1,47.68,41.7082197712179,-61.83875,-8.73475,-0.065,-61.75025,-10.041,-0.10725,47.3812359583952
1,50.03,44.9364790702011,-64.369,-8.5685,-0.616,-64.239,-10.19025,-1.03,50.977180241373
1,49.84,44.5194831545109,-64.91575,-8.31675,-1.74425,-65.05275,-10.24225,-2.619,50.3038522253234
1,49.02,43.0075897342676,-65.81925,-8.14375,-2.972,-66.297,-10.1895,-4.35275,49.8685873917749
1,48.97,46.95,-67.3505,-7.94425,-3.96075,-68.00475,-10.16975,-5.965,47.6871041057218
1,47.51,45.69,-66.69075,-7.685,-4.727,-67.70775,-10.26275,-6.9555,46.892143405763
1,47.07,46.12,-65.9025,-7.3585,-5.0755,-66.72925,-10.308,-7.099,45.8965709363849
1,45.94,43.92,-64.0595,-6.86125,-4.73075,-64.93325,-10.4765,-6.51575,46.7005318751667
1,45.95,41.27,-62.5255,-6.42175,-3.88975,-63.31475,-10.79425,-5.32725,44.1764272336117
1,44.2,40.0,-61.06675,-6.0585,-2.4795,-61.6745,-11.2605,-3.49975,44.8176327980235
1,45.74,40.55,-60.9475,-5.86825,-1.022,-61.21625,-11.7875,-1.55025,43.0435119761314
1,49.58,41.91,-61.77225,-5.9375,-0.13675,-61.4285,-12.3465,-0.222,49.7768989454012
1,56.56,45.87,-64.02875,-6.096,-0.001,-63.31875,-12.72125,-0.00175,56.7533105578237
1,49.56,39.91,-61.29625,-6.24925,-0.0,-60.89175,-12.89175,-0.0,47.4839395414372
1,41.52,32.18,-57.36775,-6.3525,-0.0,-56.91,-12.79675,-0.0,36.0116963714161
1,36.36,30.05,-53.234,-6.3415,-0.0,-52.24525,-12.51375,-0.0,33.6961201262941
1,30.99,27.56,-48.54925,-6.121,-0.0,-47.50625,-12.156,-0.0,29.0255784309939
1,32.2,30.0604893833947,-45.35825,-6.228,-0.0,-45.42825,-10.83675,-0.0,27.0412126994571
1,28.72,28.2350056783437,-43.347,-5.58775,-0.0,-43.3545,-10.55375,-0.0,24.0916443602875
1,28.08,27.9555330732976,-42.4065,-4.88175,-0.0,-42.49175,-10.13325,-0.0,20.3704948453608
1,27.95,26.0961186484618,-42.7345,-4.37675,-0.0,-42.81975,-9.742,-0.0,17.6813637276562
1,28.42,26.7754528122021,-43.91225,-3.9105,-0.0,-44.15075,-9.307,-0.0,21.6228572428761
1,34.76,29.8117153373045,-47.729,-3.53,-0.0,-47.82725,-9.0405,-0.0,28.769110016304
1,46.49,39.9841504354711,-56.66925,-3.25875,-0.00075,-55.9945,-8.9075,-0.00075,35.0846433960366
1,55.7,47.3812359583952,-62.5255,-2.979,-0.09375,-61.83875,-8.73475,-0.065,45.8425926544639
1,59.84,50.977180241373,-64.59275,-2.74725,-0.9615,-64.369,-8.5685,-0.616,49.1063385159531
1,61.14,50.3038522253234,-65.18725,-2.541,-2.5655,-64.91575,-8.31675,-1.74425,49.9632270786833
1,59.13,49.8685873917749,-66.39125,-2.35175,-4.47425,-65.81925,-8.14375,-2.972,49.7358439208294
1,56.0,48.97,-68.00725,-2.19125,-6.03475,-67.3505,-7.94425,-3.96075,50.9666247059778
1,52.46,47.51,-67.31475,-2.0765,-6.8375,-66.69075,-7.685,-4.727,47.0270382665596
1,51.05,47.07,-66.53175,-2.00425,-6.77725,-65.9025,-7.3585,-5.0755,45.1706814165754
1,50.78,45.94,-64.6405,-1.90375,-6.02175,-64.0595,-6.86125,-4.73075,46.4768750803829
1,50.22,45.95,-62.93475,-1.84775,-4.75325,-62.5255,-6.42175,-3.88975,45.8157466700079
1,50.0,44.2,-61.51225,-1.82625,-3.0815,-61.06675,-6.0585,-2.4795,45.4771856983673
1,51.69,45.74,-61.725,-1.81675,-1.32575,-60.9475,-5.86825,-1.022,48.0896924444767
1,55.99,49.58,-62.722,-1.8645,-0.17725,-61.77225,-5.9375,-0.13675,50.714962461749
1,72.7,56.56,-64.755,-1.9045,-0.00225,-64.02875,-6.096,-0.001,61.8194074853186
1,58.04,49.56,-61.61475,-1.949,-0.0,-61.29625,-6.24925,-0.0,52.4687718512881
1,43.98,41.52,-57.147,-1.96875,-0.0,-57.36775,-6.3525,-0.0,42.6413266531799
1,40.99,36.36,-52.89,-1.9445,-0.0,-53.234,-6.3415,-0.0,40.1038849056604
1,35.06,30.99,-48.5785,-1.89225,-0.0,-48.54925,-6.121,-0.0,33.5909424441524
1,33.12,27.0412126994571,-44.4095,-1.14725,-0.0,-45.35825,-6.228,-0.0,30.7802976341898
1,32.02,24.0916443602875,-42.43675,-1.1125,-0.0,-43.347,-5.58775,-0.0,28.4912702605355
1,30.26,20.3704948453608,-41.5975,-1.07125,-0.0,-42.4065,-4.88175,-0.0,28.8984726398076
1,28.22,17.6813637276562,-41.935,-1.08775,-0.0,-42.7345,-4.37675,-0.0,29.8007343140953
1,30.47,21.6228572428761,-43.23775,-1.1165,-0.0,-43.91225,-3.9105,-0.0,31.8104147178048
1,32.09,28.769110016304,-47.0825,-1.1425,-0.0,-47.729,-3.53,-0.0,31.3617372302649
1,46.62,35.0846433960366,-55.8105,-1.18125,-0.00025,-56.66925,-3.25875,-0.00075,44.8862997695729
1,55.48,45.8425926544639,-62.57525,-1.2165,-0.09175,-62.5255,-2.979,-0.09375,53.5194356
1,61.04,49.1063385159531,-64.976,-1.21,-0.9125,-64.59275,-2.74725,-0.9615,60.0742373488224
1,61.0,49.9632270786833,-65.4865,-1.14775,-2.598,-65.18725,-2.541,-2.5655,57.5554498390469
1,55.09,49.7358439208294,-66.396,-1.1325,-4.8905,-66.39125,-2.35175,-4.47425,53.7448680049196
1,52.93,56.0,-67.50725,-1.1125,-7.105,-68.00725,-2.19125,-6.03475,51.7773455449771
1,50.85,52.46,-66.50825,-1.11075,-8.4485,-67.31475,-2.0765,-6.8375,48.840120777367
1,47.8,51.05,-65.16675,-1.1365,-8.691,-66.53175,-2.00425,-6.77725,45.2683843270572
1,46.8,50.78,-63.29875,-1.21175,-7.8825,-64.6405,-1.90375,-6.02175,42.311918941434
1,45.17,50.22,-61.4305,-1.341,-6.178,-62.93475,-1.84775,-4.75325,42.0587927743377
1,44.48,50.0,-60.26025,-1.561,-3.87175,-61.51225,-1.82625,-3.0815,43.2773564285413
1,46.66,51.69,-60.053,-1.89525,-1.65375,-61.725,-1.81675,-1.32575,46.3892097786903
1,49.56,55.99,-60.5955,-2.259,-0.21775,-62.722,-1.8645,-0.17725,51.3343681312132
1,55.44,72.7,-62.49425,-2.62175,-0.001,-64.755,-1.9045,-0.00225,52.4755727902946
1,49.99,58.04,-59.2595,-2.8625,-0.0,-61.61475,-1.949,-0.0,49.5521589457615
1,40.07,43.98,-54.95175,-2.93325,-0.0,-57.147,-1.96875,-0.0,42.8060559570996
1,36.47,40.99,-51.0035,-3.002,-0.0,-52.89,-1.9445,-0.0,40.7954235250601
1,32.43,35.06,-46.68375,-3.10925,-0.0,-48.5785,-1.89225,-0.0,33.8445422270038
1,32.46,30.7802976341898,-43.3825,-3.54625,-0.0,-44.4095,-1.14725,-0.0,32.6067812744988
1,28.53,28.4912702605355,-41.19875,-3.4145,-0.0,-42.43675,-1.1125,-0.0,29.9994596378725
1,32.21,28.8984726398076,-39.968,-3.272,-0.0,-41.5975,-1.07125,-0.0,30.824305074537
1,30.35,29.8007343140953,-39.7735,-3.2485,-0.0,-41.935,-1.08775,-0.0,29.0260643863179
1,29.95,31.8104147178048,-40.018,-3.34575,-0.0,-43.23775,-1.1165,-0.0,26.5938437931564
1,31.01,31.3617372302649,-40.84675,-3.5715,-0.0,-47.0825,-1.1425,-0.0,28.0811920710868
1,32.88,44.8862997695729,-43.216,-3.87475,-0.0005,-55.8105,-1.18125,-0.00025,30.3724408171058
1,36.0,53.5194356,-46.4035,-4.1365,-0.10325,-62.57525,-1.2165,-0.09175,34.2732734620566
1,42.9,60.0742373488224,-49.45,-4.21,-1.12325,-64.976,-1.21,-0.9125,41.8745129682997
1,43.97,57.5554498390469,-52.5965,-4.09525,-3.4705,-65.4865,-1.14775,-2.598,43.0267880477393
1,42.92,53.7448680049196,-54.47125,-4.06425,-6.5085,-66.396,-1.1325,-4.8905,40.5005852972554
1,39.13,52.93,-55.987,-4.3005,-9.48075,-67.50725,-1.1125,-7.105,38.3170883199515
1,29.42,50.85,-55.29925,-4.73475,-11.38975,-66.50825,-1.11075,-8.4485,30.3738304979068
1,27.31,47.8,-53.45675,-5.14025,-11.87975,-65.16675,-1.1365,-8.691,28.5148373493976
1,28.03,46.8,-51.2095,-5.474,-10.944,-63.29875,-1.21175,-7.8825,30.3854969959219
1,28.94,45.17,-50.0755,-5.92675,-8.813,-61.4305,-1.341,-6.178,30.8698116594966
1,31.62,44.48,-49.105,-6.55875,-5.60525,-60.26025,-1.561,-3.87175,35.1793071851604
1,36.14,46.66,-49.83,-7.2965,-2.3245,-60.053,-1.89525,-1.65375,38.3756199170125
1,42.97,49.56,-51.0955,-8.199,-0.29125,-60.5955,-2.259,-0.21775,45.4294273524532
1,42.99,55.44,-52.86525,-9.2325,-0.00175,-62.49425,-2.62175,-0.001,45.4243954232038
1,35.06,49.99,-50.79625,-9.993,-0.0,-59.2595,-2.8625,-0.0,31.4751767418033
1,30.07,40.07,-47.69575,-10.44875,-0.0,-54.95175,-2.93325,-0.0,28.7710279113832
1,29.06,36.47,-45.4225,-10.712,-0.0,-51.0035,-3.002,-0.0,24.4638760334396
1,23.55,32.43,-42.05875,-10.6325,-0.0,-46.68375,-3.10925,-0.0,18.3897597042514
1,19.71,32.6067812744988,-38.9105,-11.2925,-0.0,-43.3825,-3.54625,-0.0,20.515285784676
1,18.94,29.9994596378725,-37.0585,-10.97075,-0.0,-41.19875,-3.4145,-0.0,16.5095696926376
1,19.03,30.824305074537,-36.015,-10.574,-0.0,-39.968,-3.272,-0.0,15.7876201941748
1,19.21,29.0260643863179,-35.7535,-10.3225,-0.0,-39.7735,-3.2485,-0.0,14.3469153085388
1,19.45,26.5938437931564,-36.046,-10.18825,-0.0,-40.018,-3.34575,-0.0,14.618208125857
1,19.01,28.0811920710868,-36.424,-10.287,-0.0,-40.84675,-3.5715,-0.0,15.4859861684929
1,19.03,30.3724408171058,-37.22875,-10.56375,-0.0005,-43.216,-3.87475,-0.0005,14.6572275903981
